session_id,run_label,skeleton_template,link_id,parent_canonical,child_canonical,feature_scope,included_in_v0,requires_manual_review,stage08_policy,stage08_output_scope,n_total_frames,n_native_finite_frames,n_analysis_eligible_frames,n_analysis_nan_frames,n_jump_context_frames,n_stage07_jump_frames,n_stage07_warning_frames,n_stage07_fail_frames,n_layer2_masked_frames,percent_analysis_eligible,recommended_segmentation_default,short_explanation
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J002,671,Ab,review_provisional,False,True,manual_review_required,review_provisional,30604,30604,0,30604,0,0,0,0,30604,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J003,Ab,Chest,review_provisional,False,True,manual_review_required,review_provisional,30604,30604,0,30604,0,0,0,0,30604,0.0,manual_review,Provisional trunk/spine or manual-review link; not a frozen core candidate.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J004,Neck,Head,core_candidate,True,False,allow_filter,analysis_clean_core,30604,30604,30604,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J005,LUArm,LFArm,core_candidate,True,False,allow_filter_with_warning,analysis_clean_core,30604,30604,30543,61,61,1,30604,0,61,99.8007,include_with_caution,Core candidate with mostly analysis-eligible frames; jump-context masking present; Stage 07 warning frames present.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J006,LShin,LFoot,core_candidate,True,False,allow_filter,analysis_clean_core,30604,30604,30604,0,0,0,0,0,0,100.0,candidate_include,Core candidate with high analysis eligibility and no jump-context masking.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J007,LFArm,LHand,core_candidate,True,False,block_filter,blocked,30604,30604,0,30604,61,1,0,30604,30604,0.0,blocked_needs_review,Core link with blocking jump fail or review policy; human review required.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J008,LHand,LIndex1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,30604,30604,0,30604,61,1,0,30604,30604,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J009,LIndex1,LIndex2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,30604,30604,0,30604,61,1,0,30604,30604,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J010,LIndex2,LIndex3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,30604,30604,0,30604,61,1,30604,0,30604,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J011,LHand,LMiddle1,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,30604,30604,0,30604,61,1,0,30604,30604,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J012,LMiddle1,LMiddle2,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,30604,30604,0,30604,61,1,0,30604,30604,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,Core + Passive Fingers (54),J013,LMiddle2,LMiddle3,excluded_distal,False,False,excluded_from_analysis,excluded_from_analysis,30604,30604,0,30604,61,1,30604,0,30604,0.0,excluded_by_policy,Distal/toe or policy-excluded link; retained for traceability only.
